;CustomerKey;GeographyKey;FirstName;LastName;BirthDate;MaritalStatus;Gender;EmailAddress;Education;Occupation;CustomerType;CompanyName;FullName
24;9920;650;Gretchen;Rivas;1964-03-23;Single;Female;gretchen0@adventure-works.com;Partial College;Clerical;Person;;Gretchen Rivas
25;9921;650;Jaclyn;Rai;1964-06-24;Single;Female;jaclyn41@adventure-works.com;Partial College;Clerical;Person;;Jaclyn Rai
26;9922;486;Melinda;Carlson;1964-12-25;Married;Female;melinda13@adventure-works.com;Bachelors;Skilled Manual;Person;;Melinda Carlson
27;9923;506;Clayton;Wagner;1964-07-20;Married;Male;clayton1@adventure-works.com;Bachelors;Skilled Manual;Person;;Clayton Wagner
28;9924;662;Isabella;Powell;1963-11-09;Married;Female;isabella19@adventure-works.com;Bachelors;Skilled Manual;Person;;Isabella Powell
29;9925;569;Alberto;Sanz;1977-12-06;Single;Male;alberto19@adventure-works.com;High School;Manual;Person;;Alberto Sanz
30;9926;540;Kristin;Xu;1979-04-05;Single;Female;kristin7@adventure-works.com;High School;Manual;Person;;Kristin Xu
31;9927;564;Jeffery;Guo;1979-07-18;Single;Male;jeffery17@adventure-works.com;High School;Manual;Person;;Jeffery Guo
32;9928;623;Tammy;Martinez;1979-06-16;Single;Female;tammy18@adventure-works.com;High School;Manual;Person;;Tammy Martinez
33;9929;513;Raymond;Kapoor;1979-10-17;Single;Male;raymond3@adventure-works.com;Partial College;Clerical;Person;;Raymond Kapoor
34;9930;576;Darryl;Zeng;1979-06-12;Single;Male;darryl21@adventure-works.com;Partial College;Clerical;Person;;Darryl Zeng
35;9931;569;Drew;Chande;1963-06-14;Married;Male;drew16@adventure-works.com;Bachelors;Skilled Manual;Person;;Drew Chande
36;9932;608;Brian;Sanchez;1963-10-15;Married;Male;brian29@adventure-works.com;Bachelors;Skilled Manual;Person;;Brian Sanchez
37;9933;624;Cole;Kelly;1962-05-26;Single;Male;cole3@adventure-works.com;Partial College;Clerical;Person;;Cole Kelly
38;9934;525;Laura;Li;1978-08-26;Single;Female;laura10@adventure-works.com;Partial College;Clerical;Person;;Laura Li
39;9935;650;Haley;Young;1977-08-04;Single;Female;haley59@adventure-works.com;Partial College;Clerical;Person;;Haley Young
40;9936;529;Desiree;Jimenez;1977-10-14;Single;Female;desiree1@adventure-works.com;Partial College;Clerical;Person;;Desiree Jimenez
41;9937;544;Christy;Cai;1977-06-22;Single;Female;christy19@adventure-works.com;Partial College;Clerical;Person;;Christy Cai
42;9938;639;Natalie;Williams;1977-07-05;Single;Female;natalie70@adventure-works.com;Partial College;Clerical;Person;;Natalie Williams
43;9939;659;Carolyn;Rowe;1977-08-23;Single;Female;carolyn42@adventure-works.com;Partial College;Clerical;Person;;Carolyn Rowe
44;9940;626;Joshua;Johnson;1976-09-04;Single;Male;joshua3@adventure-works.com;High School;Manual;Person;;Joshua Johnson
45;9941;615;Jillian;Rodriguez;1976-08-28;Single;Female;jillian20@adventure-works.com;High School;Manual;Person;;Jillian Rodriguez
46;9942;543;Arturo;Guo;1975-07-09;Married;Male;arturo19@adventure-works.com;Partial High School;Manual;Person;;Arturo Guo
47;9943;528;Tasha;Sharma;1975-03-26;Single;Female;tasha10@adventure-works.com;High School;Manual;Person;;Tasha Sharma
48;9944;666;Brett;Rana;1975-04-01;Single;Male;brett10@adventure-works.com;High School;Manual;Person;;Brett Rana
49;9945;459;Rebecca;Hernandez;1976-05-25;Single;Female;rebecca19@adventure-works.com;High School;Manual;Person;;Rebecca Hernandez
50;9946;765;Roger;Tang;1976-05-26;Single;Male;roger31@adventure-works.com;Partial College;Clerical;Person;;Roger Tang
51;9947;674;Abby;Chandra;1976-03-27;Single;Female;abby1@adventure-works.com;Partial College;Clerical;Person;;Abby Chandra
52;9948;506;Marie;Alvarez;1976-06-08;Single;Female;marie28@adventure-works.com;Partial College;Clerical;Person;;Marie Alvarez
53;9949;564;Xavier;White;1975-07-09;Single;Male;xavier10@adventure-works.com;Partial College;Clerical;Person;;Xavier White
54;9950;608;Sandra;Liang;1974-09-10;Single;Female;sandra24@adventure-works.com;Partial High School;Manual;Person;;Sandra Liang
55;9951;588;Albert;Suarez;1974-11-13;Single;Male;albert19@adventure-works.com;Partial High School;Manual;Person;;Albert Suarez
56;9952;506;Darrell;Jai;1974-09-22;Single;Male;darrell19@adventure-works.com;Partial High School;Manual;Person;;Darrell Jai
57;9953;673;Micah;Ye;1974-05-05;Single;Male;micah20@adventure-works.com;Partial High School;Manual;Person;;Micah Ye
58;9954;504;Neil;Rubio;1974-06-05;Single;Male;neil20@adventure-works.com;Partial High School;Manual;Person;;Neil Rubio
59;9955;657;Nathan;Foster;1974-10-11;Single;Male;nathan12@adventure-works.com;Partial High School;Manual;Person;;Nathan Foster
60;9956;543;Dawn;Pal;1975-03-12;Single;Female;dawn36@adventure-works.com;Partial College;Clerical;Person;;Dawn Pal
61;9957;503;Kristy;Alonso;1975-08-28;Single;Female;kristy8@adventure-works.com;Partial College;Clerical;Person;;Kristy Alonso
62;9958;681;Darren;Kapoor;1975-01-16;Single;Male;darren3@adventure-works.com;Partial College;Clerical;Person;;Darren Kapoor
63;9959;556;Gerald;Alonso;1975-09-26;Single;Male;gerald16@adventure-works.com;Partial College;Clerical;Person;;Gerald Alonso
64;9960;545;Ruben;Arun;1962-10-15;Married;Male;ruben7@adventure-works.com;Graduate Degree;Clerical;Person;;Ruben Arun
65;9961;529;Darrell;Beck;1962-03-05;Single;Male;darrell8@adventure-works.com;Graduate Degree;Clerical;Person;;Darrell Beck
66;9962;539;Keith;Goldberg;1961-03-09;Married;Male;keith23@adventure-works.com;Bachelors;Manual;Person;;Keith Goldberg
67;9963;529;Sharon;Xie;1961-05-20;Married;Female;sharon9@adventure-works.com;Graduate Degree;Clerical;Person;;Sharon Xie
68;9964;497;Teresa;Dominguez;1961-09-13;Married;Female;teresa13@adventure-works.com;Graduate Degree;Clerical;Person;;Teresa Dominguez
69;9965;543;Emily;Butler;1935-12-17;Single;Female;emily39@adventure-works.com;Graduate Degree;Clerical;Person;;Emily Butler
70;9966;565;Cynthia;Subram;1935-05-08;Married;Female;cynthia18@adventure-works.com;Graduate Degree;Clerical;Person;;Cynthia Subram
71;9967;616;Virginia;Madan;1962-04-12;Married;Female;virginia9@adventure-works.com;Graduate Degree;Clerical;Person;;Virginia Madan
72;9968;590;Casey;Rowe;1957-04-24;Married;Male;casey25@adventure-works.com;Partial College;Manual;Person;;Casey Rowe
73;9969;576;Arturo;Yuan;1957-07-06;Married;Male;arturo31@adventure-works.com;Partial College;Manual;Person;;Arturo Yuan
74;9970;476;Ashley;Foster;1956-12-23;Married;Female;ashley43@adventure-works.com;Partial College;Manual;Person;;Ashley Foster
75;9971;542;Isaiah;Richardson;1954-05-14;Single;Male;isaiah8@adventure-works.com;Partial College;Manual;Person;;Isaiah Richardson
76;9972;503;Preston;Suri;1937-03-10;Single;Male;preston0@adventure-works.com;Bachelors;Clerical;Person;;Preston Suri
77;9973;588;Francisco;Vance;1937-06-14;Married;Male;francisco5@adventure-works.com;Bachelors;Clerical;Person;;Francisco Vance
78;9974;506;April;Andersen;1938-04-24;Married;Female;april11@adventure-works.com;Graduate Degree;Clerical;Person;;April Andersen
79;9975;529;George;Subram;1939-10-21;Married;Male;george19@adventure-works.com;Bachelors;Clerical;Person;;George Subram
80;9976;447;Jerry;Andersen;1940-03-09;Married;Male;jerry14@adventure-works.com;Bachelors;Clerical;Person;;Jerry Andersen
81;9977;528;Jaclyn;Kumar;1941-09-04;Married;Female;jaclyn31@adventure-works.com;Partial College;Manual;Person;;Jaclyn Kumar
82;9978;540;Mario;Andersen;1941-09-26;Married;Male;mario11@adventure-works.com;Bachelors;Clerical;Person;;Mario Andersen
83;9979;480;Bruce;Srini;1941-12-25;Married;Male;bruce7@adventure-works.com;Partial College;Manual;Person;;Bruce Srini
84;9980;513;Diane;Jimenez;1941-10-26;Married;Female;diane10@adventure-works.com;Partial College;Manual;Person;;Diane Jimenez
85;9981;696;Matthew;Miller;1941-08-10;Single;Male;matthew12@adventure-works.com;Bachelors;Clerical;Person;;Matthew Miller
86;9982;586;Craig;Romero;1942-06-26;Married;Male;craig10@adventure-works.com;Partial College;Manual;Person;;Craig Romero
87;9983;576;Arthur;Jiménez;1942-02-09;Single;Male;arthur29@adventure-works.com;Graduate Degree;Clerical;Person;;Arthur Jiménez
88;9984;478;Meredith;Vance;1980-12-23;Single;Female;meredith2@adventure-works.com;Partial College;Manual;Person;;Meredith Vance
89;9985;510;Sabrina;Rubio;1980-05-12;Married;Female;sabrina15@adventure-works.com;Partial College;Manual;Person;;Sabrina Rubio
90;9986;558;Autumn;Liu;1980-01-17;Married;Female;autumn4@adventure-works.com;Bachelors;Clerical;Person;;Autumn Liu
91;9987;596;Brandi;Blanco;1977-04-27;Married;Female;brandi15@adventure-works.com;High School;Manual;Person;;Brandi Blanco
92;9988;509;Marshall;Zeng;1977-12-13;Single;Male;marshall20@adventure-works.com;High School;Manual;Person;;Marshall Zeng
93;9989;510;Anna;Martin;1977-03-24;Married;Female;anna52@adventure-works.com;High School;Manual;Person;;Anna Martin
94;9990;558;Cassandra;Sara;1976-02-26;Married;Female;cassandra11@adventure-works.com;High School;Manual;Person;;Cassandra Sara
95;9991;534;Mayra;Raman;1976-10-10;Married;Female;mayra12@adventure-works.com;High School;Manual;Person;;Mayra Raman
96;9992;568;Frederick;Sai;1976-12-06;Married;Male;frederick5@adventure-works.com;High School;Manual;Person;;Frederick Sai
97;9993;487;Julio;Serrano;1979-07-16;Married;Male;julio17@adventure-works.com;Bachelors;Clerical;Person;;Julio Serrano
98;9994;531;Mitchell;Xie;1979-04-14;Single;Male;mitchell3@adventure-works.com;Bachelors;Clerical;Person;;Mitchell Xie
99;9995;599;Autumn;Ma;1979-10-23;Married;Female;autumn15@adventure-works.com;Bachelors;Clerical;Person;;Autumn Ma
100;9996;599;Danny;Suarez;1979-02-17;Single;Male;danny20@adventure-works.com;Bachelors;Clerical;Person;;Danny Suarez
101;9997;492;Keith;Shan;1979-03-23;Single;Male;keith13@adventure-works.com;Bachelors;Clerical;Person;;Keith Shan
102;9998;646;Joanna;Ashe;1979-07-10;Married;Female;joanna3@adventure-works.com;Bachelors;Clerical;Person;;Joanna Ashe
103;9999;599;Eugene;She;1978-01-03;Married;Male;eugene26@adventure-works.com;Bachelors;Clerical;Person;;Eugene She
104;10000;478;Carolyn;Garcia;1978-04-27;Married;Female;carolyn14@adventure-works.com;Bachelors;Clerical;Person;;Carolyn Garcia
105;10001;473;Geoffrey;Perez;1978-03-26;Married;Male;geoffrey19@adventure-works.com;Bachelors;Clerical;Person;;Geoffrey Perez
106;10002;637;Clinton;Gutierrez;1978-04-06;Single;Male;clinton8@adventure-works.com;Bachelors;Clerical;Person;;Clinton Gutierrez
107;10003;519;Carolyn;Rodriguez;1977-10-27;Single;Female;carolyn19@adventure-works.com;Partial College;Manual;Person;;Carolyn Rodriguez
108;10004;528;Jimmy;Hernandez;1961-11-13;Married;Male;jimmy6@adventure-works.com;Partial College;Manual;Person;;Jimmy Hernandez
109;10005;700;Kaitlyn;Campbell;1961-11-06;Married;Female;kaitlyn5@adventure-works.com;Graduate Degree;Clerical;Person;;Kaitlyn Campbell
110;10006;557;Barbara;Zhu;1960-02-27;Married;Female;barbara23@adventure-works.com;High School;Manual;Person;;Barbara Zhu
111;10007;483;Sydney;Young;1960-07-21;Single;Female;sydney89@adventure-works.com;Partial College;Manual;Person;;Sydney Young
112;10008;674;Nuan;Ma;1960-04-21;Married;Male;nuan2@adventure-works.com;Partial College;Manual;Person;;Nuan Ma
113;10009;555;Melody;Carlson;1960-07-21;Single;Female;melody18@adventure-works.com;Partial College;Manual;Person;;Melody Carlson
114;10010;555;Clinton;Sandberg;1960-10-07;Single;Male;clinton16@adventure-works.com;Partial College;Manual;Person;;Clinton Sandberg
115;10011;555;Ruben;Navarro;1960-12-10;Married;Male;ruben33@adventure-works.com;Partial College;Manual;Person;;Ruben Navarro
116;10012;506;Aimee;Wang;1960-11-25;Single;Female;aimee1@adventure-works.com;Partial College;Manual;Person;;Aimee Wang
117;10013;447;Marie;Vance;1959-07-22;Married;Female;marie8@adventure-works.com;Partial College;Manual;Person;;Marie Vance
118;10014;624;Connor;Nelson;1958-05-02;Married;Male;connor38@adventure-works.com;Partial College;Manual;Person;;Connor Nelson
119;10015;503;Diana;Carlson;1958-04-23;Married;Female;diana17@adventure-works.com;Partial College;Manual;Person;;Diana Carlson
120;10016;513;Diane;Hernandez;1958-03-04;Married;Female;diane8@adventure-works.com;Graduate Degree;Clerical;Person;;Diane Hernandez
121;10017;586;Michele;Kapoor;1960-08-08;Married;Female;michele56@adventure-works.com;Graduate Degree;Clerical;Person;;Michele Kapoor
122;10018;529;Leslie;Romero;1960-04-08;Married;Female;leslie10@adventure-works.com;Graduate Degree;Clerical;Person;;Leslie Romero
123;10019;588;Sheila;Serrano;1960-07-23;Married;Female;sheila15@adventure-works.com;Graduate Degree;Clerical;Person;;Sheila Serrano
124;10020;681;Monica;Prasad;1960-05-14;Single;Female;monica10@adventure-works.com;Graduate Degree;Clerical;Person;;Monica Prasad
125;10021;673;Omar;Ye;1959-02-22;Married;Male;omar9@adventure-works.com;Bachelors;Clerical;Person;;Omar Ye
126;10022;529;Gary;Serrano;1959-07-11;Married;Male;gary27@adventure-works.com;Bachelors;Clerical;Person;;Gary Serrano
127;10023;557;Bianca;Huang;1958-06-14;Married;Female;bianca5@adventure-works.com;Bachelors;Clerical;Person;;Bianca Huang
128;10024;705;Cara;Wang;1970-01-20;Married;Female;cara1@adventure-works.com;High School;Manual;Person;;Cara Wang
129;10025;529;Lori;Jimenez;1970-01-04;Single;Female;lori8@adventure-works.com;High School;Manual;Person;;Lori Jimenez
130;10026;567;Cedric;Wu;1970-07-18;Single;Male;cedric7@adventure-works.com;High School;Manual;Person;;Cedric Wu
131;10027;506;Clifford;Fernandez;1970-03-21;Single;Male;clifford14@adventure-works.com;Partial College;Manual;Person;;Clifford Fernandez
132;10028;608;Luke;Nelson;1970-03-24;Single;Male;luke41@adventure-works.com;Partial College;Manual;Person;;Luke Nelson
133;10029;449;Joe;Suri;1970-10-23;Single;Male;joe4@adventure-works.com;Partial College;Manual;Person;;Joe Suri
134;10030;542;Kristi;Martin;1969-08-15;Single;Female;kristi40@adventure-works.com;High School;Manual;Person;;Kristi Martin
135;10031;529;Lindsay;Xu;1970-10-23;Single;Female;lindsay5@adventure-works.com;Bachelors;Clerical;Person;;Lindsay Xu
136;10032;539;Cassie;She;1970-03-06;Single;Female;cassie0@adventure-works.com;Bachelors;Clerical;Person;;Cassie She
137;10033;662;Brendan;Shan;1969-10-16;Single;Male;brendan8@adventure-works.com;Partial College;Manual;Person;;Brendan Shan
138;10034;544;Preston;Subram;1969-11-10;Single;Male;preston12@adventure-works.com;Bachelors;Clerical;Person;;Preston Subram
139;10035;497;Jacqueline;Kelly;1969-09-23;Single;Female;jacqueline26@adventure-works.com;Bachelors;Clerical;Person;;Jacqueline Kelly
140;10036;480;Roy;Sanchez;1969-07-16;Married;Male;roy20@adventure-works.com;Bachelors;Clerical;Person;;Roy Sanchez
141;10037;532;Ruben;Hernandez;1969-06-22;Married;Male;ruben27@adventure-works.com;Bachelors;Clerical;Person;;Ruben Hernandez
142;10038;674;Bruce;Arun;1969-10-18;Married;Male;bruce5@adventure-works.com;Graduate Degree;Clerical;Person;;Bruce Arun
143;10039;529;Pedro;Lopez;1969-08-26;Married;Male;pedro16@adventure-works.com;Graduate Degree;Clerical;Person;;Pedro Lopez
144;10040;449;Jill;Ramos;1969-03-05;Single;Female;jill25@adventure-works.com;Graduate Degree;Skilled Manual;Person;;Jill Ramos
145;10041;565;Chad;Luo;1969-03-22;Single;Male;chad7@adventure-works.com;Graduate Degree;Skilled Manual;Person;;Chad Luo
146;10042;529;Eddie;Serrano;1952-11-04;Married;Male;eddie16@adventure-works.com;Partial College;Manual;Person;;Eddie Serrano
147;10043;687;Jon;Liang;1952-08-10;Married;Male;jon37@adventure-works.com;Partial College;Manual;Person;;Jon Liang
148;10044;586;Johnathan;McDonald;1951-06-10;Married;Male;johnathan16@adventure-works.com;High School;Manual;Person;;Johnathan McDonald
149;10045;651;Franklin;Zheng;1951-07-10;Married;Male;franklin17@adventure-works.com;Partial College;Manual;Person;;Franklin Zheng
150;10046;540;Evelyn;Prasad;1953-11-04;Single;Female;evelyn10@adventure-works.com;High School;Manual;Person;;Evelyn Prasad
151;10047;506;Terrance;Suri;1953-09-13;Married;Male;terrance0@adventure-works.com;High School;Manual;Person;;Terrance Suri
152;10048;533;Sheena;Andersen;1968-01-27;Single;Female;sheena11@adventure-works.com;Partial College;Manual;Person;;Sheena Andersen
153;10049;672;Karen;Liang;1968-06-17;Married;Female;karen26@adventure-works.com;Partial College;Manual;Person;;Karen Liang
154;10050;532;James;Sharma;1968-06-08;Single;Male;james46@adventure-works.com;Partial College;Manual;Person;;James Sharma
155;10051;529;Alan;Cai;1968-02-04;Married;Male;alan25@adventure-works.com;Bachelors;Clerical;Person;;Alan Cai
156;10052;640;Sabrina;Alonso;1968-05-28;Married;Female;sabrina5@adventure-works.com;Bachelors;Clerical;Person;;Sabrina Alonso
157;10053;640;Sheena;Xu;1968-03-11;Single;Female;sheena4@adventure-works.com;Bachelors;Clerical;Person;;Sheena Xu
158;10054;525;Jamie;Vazquez;1968-08-11;Married;Male;jamie36@adventure-works.com;Bachelors;Clerical;Person;;Jamie Vazquez
159;10055;702;Keith;Jai;1968-11-20;Married;Male;keith14@adventure-works.com;Graduate Degree;Clerical;Person;;Keith Jai
160;10056;639;Kristi;Carlson;1968-07-06;Married;Female;kristi14@adventure-works.com;Graduate Degree;Clerical;Person;;Kristi Carlson
161;10057;486;Walter;Munoz;1968-11-07;Married;Male;walter20@adventure-works.com;Graduate Degree;Clerical;Person;;Walter Munoz
162;10058;437;Elizabeth;Butler;1925-03-09;Married;Female;elizabeth43@adventure-works.com;Bachelors;Skilled Manual;Person;;Elizabeth Butler
163;10059;563;Meredith;Suri;1967-02-19;Single;Female;meredith0@adventure-works.com;High School;Manual;Person;;Meredith Suri
164;10060;702;Misty;Chande;1967-02-04;Married;Female;misty16@adventure-works.com;Partial College;Manual;Person;;Misty Chande
165;10061;666;Jaclyn;Tang;1967-08-21;Single;Female;jaclyn27@adventure-works.com;Bachelors;Clerical;Person;;Jaclyn Tang
166;10062;529;Desiree;Suarez;1967-06-18;Married;Female;desiree15@adventure-works.com;Bachelors;Clerical;Person;;Desiree Suarez
167;10063;700;Miranda;Barnes;1967-08-10;Single;Female;miranda3@adventure-works.com;Bachelors;Clerical;Person;;Miranda Barnes
168;10064;539;Louis;Li;1966-04-23;Married;Male;louis41@adventure-works.com;Partial High School;Manual;Person;;Louis Li
169;10065;544;Colleen;Sun;1966-11-20;Single;Female;colleen13@adventure-works.com;High School;Manual;Person;;Colleen Sun
170;10066;542;Robert;Thompson;1967-09-07;Married;Male;robert74@adventure-works.com;Bachelors;Clerical;Person;;Robert Thompson
171;10067;705;Ebony;Arun;1966-04-10;Married;Female;ebony6@adventure-works.com;Bachelors;Skilled Manual;Person;;Ebony Arun
172;10068;498;Frank;Jimenez;1965-03-05;Single;Male;frank36@adventure-works.com;Partial High School;Manual;Person;;Frank Jimenez
173;10069;447;Lawrence;Jimenez;1965-01-28;Single;Male;lawrence3@adventure-works.com;Partial High School;Manual;Person;;Lawrence Jimenez
174;10070;525;Colin;Lu;1965-12-15;Married;Male;colin12@adventure-works.com;Partial High School;Manual;Person;;Colin Lu
175;10071;503;Latoya;Yuan;1965-01-03;Married;Female;latoya6@adventure-works.com;High School;Manual;Person;;Latoya Yuan
176;10072;659;Lindsey;Pal;1965-01-11;Single;Female;lindsey13@adventure-works.com;High School;Manual;Person;;Lindsey Pal
177;10073;539;Dominic;Sanchez;1965-02-22;Single;Male;dominic21@adventure-works.com;High School;Manual;Person;;Dominic Sanchez
178;10074;639;Catherine;Kelly;1965-11-04;Single;Female;catherine3@adventure-works.com;High School;Manual;Person;;Catherine Kelly
179;10075;525;Diane;Carlson;1965-03-10;Married;Female;diane23@adventure-works.com;Bachelors;Skilled Manual;Person;;Diane Carlson
180;10076;542;Manuel;Rana;1965-06-09;Married;Male;manuel10@adventure-works.com;Bachelors;Skilled Manual;Person;;Manuel Rana
181;10077;480;Terrence;Nath;1964-12-01;Single;Male;terrence19@adventure-works.com;Partial High School;Manual;Person;;Terrence Nath
182;10078;476;Rachel;James;1964-04-07;Single;Female;rachel44@adventure-works.com;Partial High School;Manual;Person;;Rachel James
183;10079;657;Grace;Gray;1964-02-10;Single;Female;grace41@adventure-works.com;Partial High School;Manual;Person;;Grace Gray
184;10080;572;Lee;Carlson;1964-05-12;Single;Male;lee17@adventure-works.com;High School;Manual;Person;;Lee Carlson
185;10081;564;Ebony;Lopez;1964-07-19;Married;Female;ebony17@adventure-works.com;Bachelors;Skilled Manual;Person;;Ebony Lopez
186;10082;529;Xavier;Smith;1964-03-10;Single;Male;xavier0@adventure-works.com;Bachelors;Skilled Manual;Person;;Xavier Smith
187;10083;483;Jason;Edwards;1964-08-18;Single;Male;jason31@adventure-works.com;Partial College;Manual;Person;;Jason Edwards
188;10084;659;Trisha;Chen;1963-12-20;Single;Female;trisha20@adventure-works.com;High School;Manual;Person;;Trisha Chen
189;10085;530;Clarence;Deng;1933-05-25;Married;Male;clarence17@adventure-works.com;High School;Manual;Person;;Clarence Deng
190;10086;683;Leslie;Vazquez;1933-11-16;Married;Female;leslie15@adventure-works.com;Partial College;Manual;Person;;Leslie Vazquez
191;10087;640;Katelyn;Bell;1933-04-28;Married;Female;katelyn13@adventure-works.com;Partial College;Manual;Person;;Katelyn Bell
192;10088;640;Rebecca;Scott;1966-08-22;Single;Female;rebecca15@adventure-works.com;Bachelors;Professional;Person;;Rebecca Scott
193;10089;529;Alvin;Anand;1965-11-28;Single;Male;alvin43@adventure-works.com;Partial College;Clerical;Person;;Alvin Anand
194;10090;548;Yiroyuki;Sato;1965-06-14;Single;Female;yiroyuki0@adventure-works.com;Partial College;Clerical;Person;;Yiroyuki Sato
195;10091;702;Thomas;Garcia;1965-06-26;Single;Male;thomas78@adventure-works.com;Partial College;Clerical;Person;;Thomas Garcia
196;10092;662;Ashley;Jenkins;1965-04-19;Single;Female;ashley33@adventure-works.com;Partial College;Clerical;Person;;Ashley Jenkins
197;10093;485;Gina;Gutierrez;1964-02-06;Married;Female;gina11@adventure-works.com;Bachelors;Skilled Manual;Person;;Gina Gutierrez
198;10094;506;Jacquelyn;Castro;1964-10-02;Married;Female;jacquelyn19@adventure-works.com;Bachelors;Skilled Manual;Person;;Jacquelyn Castro
199;10095;459;Alison;Sharma;1963-11-18;Single;Female;alison9@adventure-works.com;Partial College;Clerical;Person;;Alison Sharma
200;10096;529;Lance;Munoz;1963-12-06;Single;Male;lance7@adventure-works.com;Partial College;Clerical;Person;;Lance Munoz
201;10097;480;Jon;Lin;1963-09-03;Single;Male;jon27@adventure-works.com;Partial College;Clerical;Person;;Jon Lin
202;10098;586;Gary;Ruiz;1977-06-21;Married;Male;gary12@adventure-works.com;High School;Manual;Person;;Gary Ruiz
203;10099;592;Steve;Ma;1979-02-11;Married;Male;steve18@adventure-works.com;High School;Manual;Person;;Steve Ma
204;10100;661;Sandra;Liu;1979-04-24;Single;Female;sandra10@adventure-works.com;High School;Manual;Person;;Sandra Liu
205;10101;515;Sandra;Zhang;1979-06-23;Single;Female;sandra6@adventure-works.com;Partial College;Clerical;Person;;Sandra Zhang
206;10102;651;Meagan;Perez;1979-03-08;Single;Female;meagan19@adventure-works.com;Partial College;Clerical;Person;;Meagan Perez
207;10103;555;Willie;Zheng;1963-03-02;Married;Male;willie18@adventure-works.com;Bachelors;Skilled Manual;Person;;Willie Zheng
208;10104;608;Francis;Hernandez;1963-07-24;Married;Male;francis1@adventure-works.com;Bachelors;Skilled Manual;Person;;Francis Hernandez
209;10105;698;Robin;Gutierrez;1963-07-03;Married;Female;robin7@adventure-works.com;Bachelors;Skilled Manual;Person;;Robin Gutierrez
210;10106;576;Cory;Sara;1963-05-06;Married;Male;cory8@adventure-works.com;Bachelors;Skilled Manual;Person;;Cory Sara
211;10107;506;Katie;Sharma;1962-01-09;Married;Female;katie12@adventure-works.com;Bachelors;Skilled Manual;Person;;Katie Sharma
